MZ	Intensity	Resolution	S/N
495.29355	338927	270147	2.0	
495.29675	452047	259482	3.3	
495.30012	237855	364687	0.8	
495.32195	263722	202369	1.1	
495.32632	250802	261901	0.9	
495.33430	251219	437742	1.0	
495.33847	567571	176084	4.7	
495.34259	259428	426725	1.1	
495.35320	419925	244089	2.9	
495.35764	381317	184176	2.5	
495.35991	377030	215570	2.4	
495.36560	274230	450179	1.2	
495.37428	363735	248335	2.3	
495.37699	234263	557569	0.8	
495.38338	279720	257576	1.3	
495.38557	310264	263709	1.6	
495.38866	252920	470680	1.0	
495.39475	299065	288084	1.5	
495.39842	333594	297118	1.9	
495.40149	249290	449434	0.9	
495.40784	332442	364396	1.9	
495.41202	479515	207191	3.6	
495.41962	259708	366943	1.1	
495.42668	321500	405185	1.8	
495.43408	310717	382414	1.7	
495.43815	326382	255870	1.8	
495.44442	283294	382068	1.3	
495.45100	253487	398983	1.0	
495.46140	308328	193040	1.6	
495.46840	249393	495316	0.9	
495.47110	284289	362080	1.3	
495.47254	292993	351804	1.4	
495.47502	299329	419377	1.5	
495.48152	299874	280877	1.5	
495.48759	284419	272250	1.3	
495.49538	433091	280906	3.1	
495.49803	328532	269570	1.9	
495.50635	405445	286982	2.8	
495.51356	390917	312209	2.6	
495.51874	391334	264702	2.6	
495.52727	226631	659946	0.7	
495.53814	236072	202277	0.8	
495.54807	226409	552443	0.7	
495.56744	260851	305823	1.1	
495.57042	311659	313315	1.7	
495.57486	260140	372160	1.1	
495.57934	508972	258280	4.0	
495.58516	329421	383899	1.9	
495.58723	412525	248180	2.8	
495.58982	279949	296948	1.3	
495.59388	236046	526905	0.8	
495.59840	323214	429367	1.8	
495.60100	365166	287448	2.3	
495.61132	366615	160381	2.3	
495.61622	441008	225333	3.2	
495.62938	230417	230363	0.7	
495.63133	255169	204866	1.0	
495.63822	255546	278869	1.0	
495.64730	319955	381143	1.8	
495.65495	266900	450014	1.1	
495.65948	267988	446268	1.2	
495.66307	380245	247022	2.5	
495.67201	317526	385029	1.7	
495.67843	301062	255049	1.5	
495.68711	284647	180319	1.3	
495.69912	232712	439829	0.7	
495.70838	338701	226512	2.0	
495.71031	380858	165886	2.5	
495.72539	335243	290622	1.9	
495.74891	473245	274325	3.6	
495.75657	314302	329250	1.7	
495.75980	233151	388621	0.7	
495.76313	346735	279745	2.1	
495.76705	294799	200799	1.5	
495.77324	273240	243589	1.2	
495.78403	277313	366663	1.3	
495.78681	358305	363346	2.2	
495.78972	311810	326713	1.7	
495.79284	411714	283791	2.8	
495.80094	391043	248152	2.6	
495.80439	342531	404764	2.0	
495.80695	364899	325952	2.3	
495.80990	430388	191800	3.1	
495.82678	248213	400471	0.9	
495.83902	274167	183003	1.2	
495.84258	245511	550581	0.9	
495.84857	229032	573968	0.7	
495.85266	317576	310431	1.7	
495.85534	300584	346914	1.5	
495.86025	457737	223586	3.4	
495.86799	348618	333219	2.1	
495.87387	363994	243631	2.3	
495.87796	362507	336219	2.3	
495.89002	271788	282975	1.2	
495.89606	414109	176114	2.9	
495.89835	324821	343207	1.8	
495.90187	276237	404239	1.2	
495.90637	272782	219325	1.2	
495.90843	255982	165586	1.0	
495.91450	266334	330993	1.1	
495.91919	229223	454311	0.7	
495.92068	244623	316794	0.9	
495.92358	310271	342258	1.6	
495.92811	438192	276125	3.1	
495.94243	377681	199187	2.4	
495.95800	415795	207651	2.9	
495.96273	303763	293403	1.6	
495.96763	272788	451074	1.2	
495.97505	312709	300704	1.7	
495.98156	344565	223090	2.0	
495.98389	431926	237276	3.1	
495.99669	318167	310866	1.7	
496.00032	314023	228636	1.7	
496.00297	274224	211608	1.2	
496.00652	323192	369979	1.8	
496.01279	364345	280989	2.3	
496.01620	541689	237460	4.4	
496.02078	332009	314380	1.9	
496.02381	236218	490262	0.8	
496.02626	340986	419364	2.0	
496.02861	260890	394609	1.1	
496.03470	253451	382896	1.0	
496.03958	290107	275796	1.4	
496.04225	254300	359644	1.0	
496.04738	313212	343388	1.7	
496.05141	267741	393836	1.1	
496.05438	228717	315368	0.7	
496.05907	253837	445754	1.0	
496.06220	330878	210077	1.9	
496.06446	309374	287154	1.6	
496.06905	296798	295715	1.5	
496.08140	472544	235652	3.5	
496.08599	386432	219258	2.5	
496.09116	248801	475129	0.9	
496.09608	394849	229265	2.6	
496.10088	362114	324093	2.3	
496.10351	339298	388872	2.0	
496.12146	352324	423464	2.1	
496.12579	280900	369912	1.3	
496.13569	324741	340793	1.8	
496.14419	319334	367318	1.8	
496.14704	307446	326762	1.6	
496.15121	274975	253136	1.2	
496.16483	302664	341681	1.6	
496.16825	235113	617570	0.8	
496.17055	247657	562692	0.9	
496.17579	238553	263557	0.8	
496.18092	279370	189293	1.3	
496.18913	335995	260658	1.9	
496.19595	291819	320060	1.4	
496.21006	276781	327936	1.3	
496.21675	424285	190127	3.0	
496.21978	277694	297975	1.3	
496.22349	248142	385046	0.9	
496.23364	310351	384773	1.6	
496.23967	288868	129614	1.4	
496.24413	306384	421119	1.6	
496.25024	228241	324303	0.7	
496.26070	328482	328874	1.9	
496.26361	254528	229254	1.0	
496.26687	287347	401798	1.4	
496.27152	393331	347623	2.6	
496.27588	266452	513716	1.1	
496.28280	306868	343396	1.6	
496.28639	238901	326951	0.8	
496.29540	327238	265240	1.8	
496.30119	337174	332997	2.0	
496.31340	290295	410288	1.4	
496.31656	466280	227050	3.5	
496.32040	359368	273443	2.2	
496.32529	262789	195851	1.1	
496.32637	262217	271820	1.1	
496.33361	224665	486385	0.6	
496.33648	297562	405574	1.5	
496.34420	348587	170455	2.1	
496.34649	298219	312597	1.5	
496.35114	288891	377437	1.4	
496.35873	323460	202878	1.8	
496.36295	317805	147245	1.7	
496.36861	285349	269777	1.4	
496.37052	320877	256117	1.8	
496.37642	324062	333793	1.8	
496.37989	325150	220845	1.8	
496.38240	348495	140181	2.1	
496.38452	302479	178670	1.6	
496.39357	347568	303574	2.1	
496.39700	238840	356518	0.8	
496.40272	238369	417169	0.8	
496.40535	334577	264261	1.9	
